Flowable,Class,SectorProducedBy,SectorConsumedBy,SectorSourceName,Context,Location,LocationSystem,FlowAmount,Unit,FlowType,Year,MeasureofSpread,Spread,DistributionType,Min,Max,DataReliability,TemporalCorrelation,GeographicalCorrelation,TechnologicalCorrelation,DataCollection,MetaSources,FlowUUID,ProducedBySectorType,ConsumedBySectorType,AttributionSources
Food Waste,Other,311224,624210,NAICS_2012_Code,,"=""00000""",FIPS,107997750.58683185,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311225,115112,NAICS_2012_Code,,"=""00000""",FIPS,89767224.76653324,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311225,311119,NAICS_2012_Code,,"=""00000""",FIPS,203723283.11406645,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311225,324110,NAICS_2012_Code,,"=""00000""",FIPS,3490412.417724212,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311225,5622121,NAICS_2012_Code,,"=""00000""",FIPS,13485525.8978144,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311225,562213,NAICS_2012_Code,,"=""00000""",FIPS,1967541.7849712188,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311225,5622191,NAICS_2012_Code,,"=""00000""",FIPS,54851622.85806664,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311225,5622192,NAICS_2012_Code,,"=""00000""",FIPS,8716478.055866227,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311225,624210,NAICS_2012_Code,,"=""00000""",FIPS,26337331.498216078,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311230,115112,NAICS_2012_Code,,"=""00000""",FIPS,100151733.69979757,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311230,311119,NAICS_2012_Code,,"=""00000""",FIPS,227290528.9425315,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311230,324110,NAICS_2012_Code,,"=""00000""",FIPS,3894192.517052259,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311230,5622121,NAICS_2012_Code,,"=""00000""",FIPS,15045567.04334206,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311230,562213,NAICS_2012_Code,,"=""00000""",FIPS,2195152.199526687,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311230,5622191,NAICS_2012_Code,,"=""00000""",FIPS,61197003.02387966,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311230,5622192,NAICS_2012_Code,,"=""00000""",FIPS,9724823.189328473,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311230,624210,NAICS_2012_Code,,"=""00000""",FIPS,29384103.35657406,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311313,115112,NAICS_2012_Code,,"=""00000""",FIPS,36993314.73977076,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311313,311119,NAICS_2012_Code,,"=""00000""",FIPS,83954912.84997134,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311313,324110,NAICS_2012_Code,,"=""00000""",FIPS,1438408.3442068815,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311313,5622121,NAICS_2012_Code,,"=""00000""",FIPS,5557421.489487405,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311313,562213,NAICS_2012_Code,,"=""00000""",FIPS,810829.2609512254,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311313,5622191,NAICS_2012_Code,,"=""00000""",FIPS,22604501.293796968,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311313,5622192,NAICS_2012_Code,,"=""00000""",FIPS,3592084.0482881884,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311313,624210,NAICS_2012_Code,,"=""00000""",FIPS,10853685.14012949,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311314,115112,NAICS_2012_Code,,"=""00000""",FIPS,65347567.788926,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311314,311119,NAICS_2012_Code,,"=""00000""",FIPS,148303805.6273103,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311314,324110,NAICS_2012_Code,,"=""00000""",FIPS,2540904.686223272,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311314,5622121,NAICS_2012_Code,,"=""00000""",FIPS,9817016.400681771,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311314,562213,NAICS_2012_Code,,"=""00000""",FIPS,1432305.2818592407,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311314,5622191,NAICS_2012_Code,,"=""00000""",FIPS,39930165.51834457,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311314,5622192,NAICS_2012_Code,,"=""00000""",FIPS,6345307.456232745,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311314,624210,NAICS_2012_Code,,"=""00000""",FIPS,19172705.404843256,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311340,115112,NAICS_2012_Code,,"=""00000""",FIPS,96984965.64878432,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311340,311119,NAICS_2012_Code,,"=""00000""",FIPS,220103669.9760095,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311340,324110,NAICS_2012_Code,,"=""00000""",FIPS,3771059.3071523597,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311340,5622121,NAICS_2012_Code,,"=""00000""",FIPS,14569830.685496762,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311340,562213,NAICS_2012_Code,,"=""00000""",FIPS,2125742.1394531424,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311340,5622191,NAICS_2012_Code,,"=""00000""",FIPS,59261971.97813976,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311340,5622192,NAICS_2012_Code,,"=""00000""",FIPS,9417327.17063718,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311340,624210,NAICS_2012_Code,,"=""00000""",FIPS,28454986.742415454,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311351,115112,NAICS_2012_Code,,"=""00000""",FIPS,41738465.07517793,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311351,311119,NAICS_2012_Code,,"=""00000""",FIPS,94723850.0396099,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311351,324110,NAICS_2012_Code,,"=""00000""",FIPS,1622913.6767238358,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311351,5622121,NAICS_2012_Code,,"=""00000""",FIPS,6270274.626070202,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311351,562213,NAICS_2012_Code,,"=""00000""",FIPS,914834.7215763658,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311351,5622191,NAICS_2012_Code,,"=""00000""",FIPS,25503991.584150907,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311351,5622192,NAICS_2012_Code,,"=""00000""",FIPS,4052842.402775972,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311351,624210,NAICS_2012_Code,,"=""00000""",FIPS,12245892.571266232,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311352,115112,NAICS_2012_Code,,"=""00000""",FIPS,123784625.06369692,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311352,311119,NAICS_2012_Code,,"=""00000""",FIPS,280924471.9618616,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311352,324110,NAICS_2012_Code,,"=""00000""",FIPS,4813108.498891042,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311352,5622121,NAICS_2012_Code,,"=""00000""",FIPS,18595882.532731194,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311352,562213,NAICS_2012_Code,,"=""00000""",FIPS,2713144.165738089,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311352,5622191,NAICS_2012_Code,,"=""00000""",FIPS,75637712.84318948,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311352,5622192,NAICS_2012_Code,,"=""00000""",FIPS,12019598.142055962,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311352,624210,NAICS_2012_Code,,"=""00000""",FIPS,36317895.68145828,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311411,115112,NAICS_2012_Code,,"=""00000""",FIPS,119976875.86880356,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311411,311119,NAICS_2012_Code,,"=""00000""",FIPS,272282930.8060987,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311411,324110,NAICS_2012_Code,,"=""00000""",FIPS,4665052.06617853,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311411,5622121,NAICS_2012_Code,,"=""00000""",FIPS,18023853.03629008,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311411,562213,NAICS_2012_Code,,"=""00000""",FIPS,2629684.9113484365,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311411,5622191,NAICS_2012_Code,,"=""00000""",FIPS,73311014.83821489,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311411,5622192,NAICS_2012_Code,,"=""00000""",FIPS,11649862.279263597,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311411,624210,NAICS_2012_Code,,"=""00000""",FIPS,35200717.857716985,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311412,115112,NAICS_2012_Code,,"=""00000""",FIPS,201453022.08005643,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311412,311119,NAICS_2012_Code,,"=""00000""",FIPS,457189928.2632193,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311412,324110,NAICS_2012_Code,,"=""00000""",FIPS,7833083.084444947,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311412,5622121,NAICS_2012_Code,,"=""00000""",FIPS,30263829.070344724,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311412,562213,NAICS_2012_Code,,"=""00000""",FIPS,4415500.642713565,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
