FacilityID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,UrbanRural,Plant operator name,Balancing Authority Name,Balancing Authority Code,NERC region acronym,eGRID subregion acronym,Plant primary fuel,Plant primary coal/oil/gas/ other fossil fuel category,Plant coal generation percent (resource mix),Plant oil generation percent (resource mix),Plant gas generation percent (resource mix),Plant nuclear generation percent (resource mix),Plant hydro generation percent (resource mix),Plant biomass generation percent (resource mix),Plant wind generation percent (resource mix),Plant solar generation percent (resource mix),Plant geothermal generation percent (resource mix),Plant other fossil generation percent (resource mix),Plant other unknown / purchased fuel generation percent (resource mix)
59831,Royal Solar,,,NC,,35.216,-78.689,Cumberland,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
62594,Ruff Solar LLC,,,NC,,35.32062,-81.7634,Rutherford,,,,"Duke Energy Carolinas, LLC",Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
60922,Ruskin Solar,,,NC,,35.274,-78.022,Wayne,,,,Tri-County Elec Member Corp,Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
59589,Rutherford Farm,,,NC,,35.257778,-81.830556,Rutherford,,,,"Duke Energy Carolinas, LLC",Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
64677,Ryland Road Solar,,,NC,,36.27585,-76.64867,Chowan,,,,3 Phases Renewables Inc,"PJM Interconnection, LLC",PJM,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
62596,Sabattus Solar LLC,,,NC,,35.819,-78.135,Nash,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
62102,Sadiebrook NC Solar,,,NC,,34.44,-78.658,Bladen,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
54984,Salem Energy Systems LLC,,,NC,,36.191241,-80.183458,Forsyth,,,,"Duke Energy Carolinas, LLC",Duke Energy Carolinas,DUK,SERC,SRVC,LFG,BIOMASS,0,0,0,0,0,100,0,0,0,0,0
61128,Salisbury Solar,,,NC,,35.632585,-80.422626,Rowan,,,,"Duke Energy Carolinas, LLC",Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
58805,"Samarcand Solar Farm, LLC",,,NC,,35.311667,-79.695,Moore,,,,"Duke Energy Carolinas, LLC",Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
57492,Sampson County Disposal,,,NC,,34.9856,-78.4625,Sampson,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,LFG,BIOMASS,0,0,0,0,0,100,0,0,0,0,0
61096,Sampson Solar,,,NC,,34.961039,-78.470536,Sampson,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
58491,"Sandy Cross Solar, LLC",,,NC,,35.868333,-77.954167,Nash,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
62692,Sandy Solar,,,NC,,36.33,-76.058,Camden,,,,Virginia Electric & Power Co,"PJM Interconnection, LLC",PJM,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
54898,Santeetlah,,,NC,,35.4475,-83.863889,Graham,,,,Tennessee Valley Authority,Tennessee Valley Authority,TVA,SERC,SRTV,WAT,HYDRO,0,0,0,0,100,0,0,0,0,0,0
59500,Sarah Solar,,,NC,,36.139444,-78.146944,Franklin,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
56915,SAS Solar Farm,,,NC,,35.8136,-78.7503,Wake,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
60921,Scarlet Solar,,,NC,,35.287803,-77.795061,Lenoir,,,,Tri-County Elec Member Corp,Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
59591,Schell Solar Farm,,,NC,,36.435556,-77.566389,Northampton,,,,Virginia Electric & Power Co,"PJM Interconnection, LLC",PJM,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
63345,"Scotch Bonnet Solar, LLC",,,NC,,34.53827,-77.908113,Pender,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
59643,Seaboard Solar LLC,,,NC,,36.476944,-77.467778,Northampton,,,,Virginia Electric & Power Co,"PJM Interconnection, LLC",PJM,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
